序号 题目 答案
0 罗恩的猫头鹰叫什么名字？ 小猪
2 罗恩在火车上第一次给哈利波特展示的咒语是？ 维菊、甜奶油和阳光 
3 梅洛普刚特将斯莱特林挂坠盒卖了多少钱？ 10加隆
916 韦斯莱先生对韦斯莱太太的爱称是什么？ 莫丽小颤
1028 1612年妖精叛乱司令部所在地是？ 猪头酒吧 
1027 活地狱汤剂的配方中有以下哪种材料？ 水仙根粉末 
1026 代课老师格拉普兰教授的名字叫什么？ 威尔米娜 
1025 哈利·波特之外还有谁能拔出格兰芬多宝剑？ 纳威隆巴顿 
1024 斯莱特林的挂坠盒被梅洛普冈特卖了多少钱？ 10加隆
1023 被蛇怪杀死的女孩是谁？ 桃金娘伊丽莎白沃伦 
1022 奥利凡德在给哈利波特介绍魔杖时，提到谁的魔杖用于变形术最好不过？ 詹姆斯波特
1021 弗农·德思礼在格朗宁公司是什么职位？ 主管
1020 什么生物看起来像由一缕烟雾组成，提着灯笼，会把旅行的人引入沼泽？ 欣克庞克
1019 第一次骑着扫帚飞越大西洋的巫师使用的是什么型号的飞天扫帚？ 橡木箭79
1018 舟形乌头和狼毒乌头的区别是什么？ 没有区别
1017 哈利上三年级前，在暑假收到了罗恩送的什么礼物？ 袖珍窥镜
1015 吉德罗洛哈特荣获多少次巫师周刊最迷人微笑奖？ 五次
1014 根据妖精拉环的说法，如果有人试图古灵阁713号金库，会发生什么？ 被吸入门中
1013 规模最大的魔法学校是哪所？ 瓦加度
1012 凯瑞迪布巴吉教授在霍格沃茨教哪一门课程？ 麻瓜研究
1011 韦斯莱家是如何处理花园中的地精的？ 甩晕并扔到远处
1010 哈利波特的姨夫在什么公司上班？ 钻机
1009 麦格教授的阿尼玛格斯变形的异常在哪里？ 眼部眼镜形状花纹
1008 哈利·波特是谁的后裔？ 伊格诺图斯佩弗利尔
1007 以下伊法魔尼四大学院创始人中哪一位是麻瓜？ 詹姆斯斯图尔特
1006 海格在什么节日里亲吻过麦格教授？ 圣诞节
1005 布莱克家族大部分成员的名字是根据什么来命名的？ 恒星或星座
1004 卡思伯特宾斯教授在霍格沃茨教哪一门课程？ 魔法史
1003 德拉科·马尔福在修理消失柜时，高尔等人用摔掉什么来提醒他有人靠近？ 天平
1002 从分院帽里能得到什么？ 格兰芬多宝剑
1001 麻瓜传说中的麦田怪圈可能是哪种神奇动物留下的？ 月痴兽
1000 进去赫奇帕奇休息室需要敲击哪个木桶？ 第二排中间第二个桶
999 哈利的姨夫最喜欢周几？ 周日
998 德思礼夫妇在哈利去霍格沃茨第一年圣诞，送了什么礼物给哈利？ 五十便士
997 独角兽幼崽是什么颜色的？ 金色
